IDPOP,TIME_SEQ,SEQ_COUNT
99999,14.364808,1
84597,16.013857,1
665,21.984668,1
30781,18.500247,1
73765,11.119563,1
2472,15.931265,1
93840,10.717319,1
59027,22.489288,1
89832,19.236512,1
14708,19.444336,1
88315,13.975036,1
76540,8.905899,1
66524,16.438800,1
63140,21.762358,1
77720,18.143517,1
12806,12.747529,1
78869,14.515627,1
35314,13.489167,1
55953,13.106917,1
64690,14.078877,1
18562,14.704318,1
7700,13.798518,1
3421,13.042729,1
118,20.047775,1
81796,14.122803,1
33579,16.350921,1
1905,14.543946,1
14069,18.234767,1
59361,20.595482,1
89309,10.315979,1
25916,9.595073,1
61402,21.636235,1
98986,15.596669,1
13743,20.381100,1
23433,15.351600,1
99562,16.979596,1
16645,21.812783,1
783,16.817566,1
23926,13.412544,1
50099,11.637180,1
56660,22.598228,1
68392,16.269130,1
4415,19.757000,1
47883,20.647227,1
70669,17.726440,1
67978,18.063668,1
66462,11.967871,1
70584,16.978253,1
86332,19.204977,1
7950,21.919727,1
1316,12.046903,1
555,18.880827,1
485,16.405114,1
48720,14.327171,1
33173,15.867586,1
87688,18.238227,1
80619,20.969900,1
21260,23.161673,1
82586,13.791727,1
38782,16.356440,1
15344,19.812525,1
14998,14.086311,1
1162,21.682151,1
35711,16.955360,1
6837,17.601815,1
51915,19.089383,1
18191,16.447149,1
68268,13.567638,1
86666,13.983611,1
3124,11.192364,1
8219,22.069560,1
19211,15.895865,1
30193,19.768239,1
5840,18.342085,1
22024,11.638807,1
9414,12.816916,1
11669,13.450910,1
3887,18.833987,1
93295,18.735476,1
908,22.378684,1
8335,12.143568,1
47938,11.901074,1
87030,19.050115,1
11785,15.175837,1
2051,14.526131,1
11515,12.103298,1
9790,17.293701,1
96375,20.368165,1
38902,13.109542,1
9057,21.809912,1
7108,15.716751,1
7041,19.169858,1
13340,20.945783,1
9554,12.285163,1
47120,14.525535,1
97026,19.390768,1
22026,12.705008,1
66552,12.761538,1
88,20.744074,1
19740,19.699480,1
