IDREC,IDTR,TIME_TR
99999,NA,0
76732,99999,3.841028
4196,76732,13.062996
587,4196,15.064772
69996,587,15.305635
17040,587,15.616254
88491,587,15.698103
40402,4196,15.870654
5491,4196,16.217291
14637,587,16.520538
18032,14637,16.581371
38415,587,16.626939
26143,4196,16.655826
67921,5491,16.858070
46393,587,17.045661
12276,587,17.076551
7839,587,17.124109
15385,587,17.128140
88844,18032,17.266503
22560,17040,17.279464
44875,14637,17.472376
22851,587,17.897329
56441,88491,18.031660
50708,4196,18.135995
44158,44875,18.273941
2,44158,18.312686
10318,2,18.318163
14415,67921,18.346482
98333,2,18.362863
29621,2,18.385893
1871,2,18.443456
5170,2,18.447283
78559,2,18.505017
48985,2,18.510100
29559,2,18.523365
5417,2,18.547385
20783,2,18.550923
4728,2,18.551574
45347,2,18.630565
3904,2,18.640609
80,2,18.661810
76001,2,18.662551
24471,2,18.670852
305,2,18.676824
25412,2,18.679879
26646,2,18.685731
562,305,18.705021
85448,2,18.705387
20522,2,18.712237
92803,2,18.729764
95994,587,18.730446
60360,2,18.749380
9919,2,18.750973
4307,2,18.775768
25534,562,18.788168
1,2,18.794322
34209,2,18.811957
16857,80,18.816104
13286,2,18.835521
29631,2,18.854911
71,2,18.857013
41783,80,18.874608
1877,38415,18.874678
42082,2,18.884766
37077,2,18.895179
68504,37077,18.901425
17928,2,18.906260
10870,1,18.915312
4038,1,18.918248
14371,2,18.918777
75241,562,18.940240
50963,2,18.945828
95233,10870,18.946470
1439,1,18.962936
47758,2,18.966405
85192,4196,18.972776
84325,80,18.975055
63575,2,18.978214
56657,2,18.979529
30279,2,19.008513
401,587,19.020045
48055,2,19.021788
19992,562,19.027157
66538,1,19.058514
25675,1,19.060827
80966,1,19.068032
22779,80,19.071666
14088,1,19.085978
97294,80,19.094732
32316,9919,19.105016
98495,1,19.111385
74607,80,19.119285
8437,1,19.120166
7779,1,19.129554
26416,9919,19.131080
50967,2,19.140512
2341,2,19.164323
11038,2,19.165975
11173,2,19.168691
61677,80,19.168836
38970,26416,19.171308
32454,16857,19.171806
4100,587,19.182792
162,1,19.184373
81064,2,19.185533
3075,2,19.186336
65949,11038,19.194959
82481,80,19.197147
4,2,19.206294
62212,2,19.206651
60517,2,19.206918
8617,4,19.207946
45198,401,19.211348
3153,4,19.212134
80330,2,19.213791
5889,401,19.226324
32065,2,19.230286
2034,1,19.233856
10333,98495,19.239321
89,80,19.241270
4356,305,19.241910
67545,1,19.257086
51067,3904,19.258833
58163,1,19.263872
3024,1,19.268298
10558,2,19.274927
98043,3024,19.279731
56155,162,19.281094
14562,162,19.290074
53289,2,19.305095
84424,8617,19.319722
14990,15385,19.321660
70678,4,19.328266
20806,2,19.330771
97811,2,19.336109
886,2,19.337186
70698,4,19.339593
85834,8437,19.340110
55,401,19.343175
39669,2,19.348264
26486,2,19.350360
97694,76732,19.355296
3350,1,19.355435
61028,4,19.378195
67990,4196,19.379870
16593,4,19.380824
2840,4,19.386379
91136,3024,19.388492
1208,1,19.390378
52715,50967,19.390593
93378,80,19.393947
42985,2,19.396903
23626,2,19.399620
89759,7839,19.400132
2672,4,19.402617
6583,2,19.414006
542,4100,19.421656
57705,1,19.422017
5283,80,19.425354
89793,4100,19.430734
18217,1,19.432478
70,4,19.433678
26359,5283,19.444995
8682,70678,19.448773
28655,80,19.449086
9523,70,19.449270
16498,4100,19.450890
11340,1,19.463657
27946,542,19.464880
27747,2,19.478069
26094,1,19.487840
43024,4728,19.491836
6933,19992,19.511488
64210,1,19.513252
469,4,19.522664
7749,2,19.525815
83167,80,19.529607
40740,1,19.531471
10668,2,19.531998
7444,1,19.537562
1383,2,19.539780
41438,4100,19.560376
296,2,19.566247
84795,10668,19.567158
83953,469,19.567611
24109,1,19.568890
78818,43024,19.571301
44688,562,19.571697
11126,305,19.573671
40675,2,19.574017
50429,2,19.579615
1291,296,19.580324
66291,4,19.586660
10705,296,19.588396
3862,26094,19.598130
50821,17928,19.601191
70585,2,19.606594
7599,2,19.611893
2973,4,19.617943
71474,42985,19.624016
17813,2,19.626103
94811,1,19.626423
22924,4728,19.644690
60142,19992,19.645934
66507,305,19.647011
93252,1,19.652707
16376,3350,19.655444
5294,2,19.656829
42826,4100,19.659152
16694,2,19.662402
9196,70,19.670021
2161,2,19.671931
410,80,19.672262
29526,2,19.676647
97053,89,19.678749
43082,305,19.689943
30506,1,19.692299
21049,4,19.696298
98166,162,19.704473
54197,4,19.705583
98772,4,19.710856
2448,1,19.714320
26451,1,19.716797
35279,886,19.717329
756,1,19.717634
3972,756,19.721976
33494,469,19.724239
18218,3153,19.729930
70264,10668,19.734243
20964,71474,19.735064
57278,2,19.737080
71213,74607,19.737943
96392,5283,19.743269
7451,55,19.751829
87756,10668,19.759648
9061,401,19.759860
46265,469,19.766996
1750,410,19.769247
30,2,19.770212
11383,4,19.770391
25763,8617,19.775334
59977,2,19.781471
121,562,19.782050
8156,1,19.785102
89205,26359,19.789246
62613,16857,19.795940
96844,1,19.798973
2105,14415,19.806587
8086,2,19.808203
54333,26416,19.809924
1417,2,19.811614
59594,41438,19.811782
11726,1750,19.815109
10194,410,19.815338
4387,20964,19.817696
1952,4,19.819418
89617,8437,19.819767
113,85192,19.821162
58798,4,19.823403
80104,94811,19.824023
35832,2,19.835322
13931,8682,19.840579
44313,2,19.843097
26041,2,19.848170
1761,587,19.848828
78783,20806,19.850221
23748,2,19.851052
13557,2,19.852125
67254,2,19.862296
67538,562,19.867117
2012,4,19.872606
4497,2,19.876164
3188,587,19.885848
502,1,19.890762
95412,2,19.891296
13489,12276,19.895813
37788,2,19.898828
16713,14371,19.902229
19500,6933,19.919146
43297,10333,19.920257
6366,1,19.920921
31665,88844,19.923618
72478,20783,19.943460
38368,1,19.947149
82372,2,19.949220
46394,1871,19.956848
1607,410,19.957950
6,4,19.958868
25536,7839,19.960092
11777,1,19.960295
126,70,19.961301
43055,6,19.963005
25151,4728,19.964082
31031,587,19.965948
1356,2,19.969651
93325,13931,19.976871
84545,6,19.977209
88429,121,19.981381
21048,1,19.984071
2373,75241,19.985657
3787,1,19.994385
35876,2,19.996138
31720,11038,19.997858
136,30,20.005489
2084,1,20.005914
85283,10318,20.010992
95038,35279,20.011114
19698,2,20.012769
44723,1,20.013279
59436,5283,20.019954
2873,11383,20.027788
972,469,20.028391
21872,1,20.028456
4730,80,20.030962
72578,2084,20.033239
50475,1,20.033949
35387,78559,20.035622
600,1291,20.035998
75707,2,20.038026
45606,26359,20.038723
9707,2,20.040952
9241,469,20.041282
3898,136,20.043508
8163,113,20.044944
45317,410,20.044945
40548,1750,20.045176
50661,2,20.051418
17187,84424,20.053588
5044,43082,20.054807
72221,6,20.059379
55411,14990,20.061972
86621,2,20.062080
61658,6,20.064240
82022,6,20.070447
65422,6,20.072677
78477,18217,20.072839
8155,121,20.077614
8094,27747,20.078163
3018,24471,20.079125
52232,80,20.079273
23505,2448,20.079423
2936,113,20.083895
8009,89,20.083926
54580,30,20.084117
58874,296,20.087352
3,305,20.091059
9094,2,20.091785
95303,542,20.092880
15380,3,20.093262
79083,9241,20.094435
37313,6,20.094868
2740,3,20.098136
18992,80,20.099021
63556,1750,20.101465
48500,7451,20.104303
29089,2,20.105842
22798,2873,20.106042
77483,8156,20.107265
7725,70,20.109274
12184,10705,20.115538
16227,6,20.120522
6365,30,20.126353
84097,70,20.126871
96917,305,20.127886
19298,2,20.128285
50711,2873,20.133582
24814,121,20.137543
207,70264,20.140469
92622,3,20.142856
29672,14990,20.145913
7233,2,20.148404
35064,37077,20.153005
39379,2,20.158491
56276,4100,20.159412
27051,4497,20.159542
25274,305,20.162899
46599,1,20.163050
1734,2,20.163967
71394,410,20.169255
10355,6,20.172124
36149,1,20.174773
2493,1,20.181800
465,80,20.183292
1108,3,20.184077
74348,3,20.184196
10697,1,20.192965
32814,4,20.195042
18803,126,20.199806
34164,121,20.204262
31,2,20.205543
3223,3,20.206106
19171,296,20.206896
27319,6366,20.207373
190,3,20.207773
38020,27946,20.211035
11644,8617,20.214490
21301,80,20.214601
46511,1,20.214601
3890,3,20.224335
18054,2,20.224560
88681,5283,20.228901
47918,2936,20.232963
