IDREC,IDTR,TIME_TR
99999,NA,0
1222,99999,14.388190
21131,1222,14.404737
44301,1222,14.644578
64998,1222,15.321072
69016,1222,15.906003
1232,21131,16.284931
54480,1232,16.687242
191,1232,16.998041
29844,1232,17.133568
516,191,17.461609
60985,1222,17.501281
12198,516,17.534328
18368,1232,17.704653
19116,69016,17.976780
31550,64998,18.072589
2169,516,18.181625
5191,1222,18.304414
2067,516,18.435361
25298,516,18.490697
2586,191,18.562695
8360,191,18.589571
29709,1232,18.839676
47714,516,18.863034
90295,2169,18.878535
73489,1222,18.925047
26849,1232,18.949000
12360,516,19.001728
2539,19116,19.021235
46381,2067,19.042161
6380,2067,19.104472
48832,2539,19.142787
120,191,19.282405
87097,2539,19.297931
76592,191,19.342816
7088,6380,19.362278
25973,516,19.366759
6110,47714,19.396144
5103,25973,19.423730
24476,1232,19.475674
42955,7088,19.531057
145,516,19.543025
4992,2539,19.550546
3594,191,19.642154
43434,2067,19.644249
2000,120,19.681280
10346,2067,19.701551
94669,4992,19.713102
50509,120,19.731650
57149,2169,19.742664
3680,2539,19.754317
65884,94669,19.782174
55785,2067,19.784327
22386,120,19.802857
6086,120,19.846430
40381,2000,19.860720
414,120,19.864019
9293,120,19.890269
8226,145,19.906632
53,191,19.932558
19141,191,19.957389
12888,145,19.963953
17686,120,19.972627
75457,53,19.975444
68320,10346,19.980569
3118,414,19.994100
40513,145,20.001097
18345,120,20.015788
28749,53,20.017629
84701,2539,20.033548
13546,76592,20.038679
29467,2539,20.043345
59279,414,20.062562
47975,145,20.086331
34370,120,20.087775
1908,53,20.101064
99467,145,20.109661
25269,53,20.132264
71244,414,20.159989
73381,53,20.163012
71210,2067,20.166113
2796,516,20.196688
95539,2796,20.236683
72855,53,20.246848
12868,6380,20.248666
78953,120,20.310734
30918,145,20.356293
66368,120,20.429485
13345,2796,20.437195
44231,30918,20.495096
52860,120,20.500058
44636,2067,20.520960
33911,25269,20.525669
18051,53,20.526664
97542,2067,20.540956
78706,145,20.573768
34851,53,20.588567
2826,414,20.595218
6649,53,20.605242
767,414,20.611478
59353,414,20.612690
96486,2826,20.616410
40578,53,20.617090
2407,2067,20.646519
90419,18345,20.648043
56204,53,20.671133
14069,414,20.711771
88779,120,20.733193
4352,53,20.751054
256,2796,20.772415
14263,9293,20.779679
65642,53,20.786803
40328,5191,20.802288
11664,256,20.807731
16938,17686,20.826768
1829,120,20.846211
6544,2796,20.847705
45418,3594,20.863769
43072,3118,20.871170
17883,120,20.885271
97375,18345,20.885496
80614,97542,20.889797
66855,1829,20.890389
